,Id,Vistas,likes,Comentarios,C_id,Data,Título,C_data,C_Título,País,C_vistas,Subscriptores,No Videos,Titulo,Status,Categoria,Duracao,Data_tendencia
0,Gj1LwsjHBcQ,884424.0,96151.0,260.0,UC63iwP6BtIjxB6xn1GKR6Lw,2022-09-08 19:45:33+00:00,,2015-01-30 00:13:30+00:00,Emilly Vick,BR,986194410,2880000.0,154,FUI EXPULSA DA LOJA PELO SEGURANÇA *deu muito ruim*,0,Science & Technology,27.0,
1,NBPk2JA9NRE,879906.0,161515.0,5321.0,UCiIZY89KwQkxAW-4Le7U7zg,2022-09-13 21:10:17+00:00,,2011-01-18 00:36:12+00:00,viniccius13,BR,872438573,5850000.0,505,A Forja do Golem Gigante - Minecraft Em busca da casa automática #343,1,Gaming,2104.0,2022-09-15 00:00:00+00:00
2,-hsugN7exHg,475631.0,36581.0,36.0,UCjaxmdb_gTWbz9XF5rzvgGg,2022-09-13 21:28:00+00:00,,2017-02-12 23:54:17+00:00,Natan por Aí,BR,2738305091,5080000.0,891,"UMA BALA, UM MORTAL! #shorts",0,Entertainment,34.0,
3,DqgK4llE1cw,475929.0,106448.0,4314.0,UC8CX0LD98EDXl4UYX1MDCXg,2022-08-22 13:00:13+00:00,Fire Again ft. Ashnikko // Official Music Video // VALORANT Champions 2022,2020-01-31 04:50:39.775767+00:00,VALORANT,US,226527323,1690000.0,107,,1,Gaming,209.0,2022-08-23 00:00:00+00:00
4,NAyL32Eh_hk,21676.0,2645.0,380.0,UCpcHFJwDFlrnbCw3yD-4Wzg,2022-08-29 13:15:11+00:00,MAVİ OYUNCAK PEŞİMİZE DÜŞTÜ | RAİNBOW FRİENDS YENİ | HAN KANAL KÜBRA NİSA,2013-10-29 14:09:43+00:00,Han Kanal,US,1925956665,2280000.0,3836,,0,Gaming,1761.0,
5,C_IEyirfj6M,21679.0,6046.0,108.0,UCZRz1x875YmSEDjkmREKMtQ,2022-09-02 14:57:07+00:00,,2016-09-12 15:24:00+00:00,Akatu Oficial,BR,161881731,253000.0,48,Akatu  - Chega de Fingir -  DVD Degrauzinho por Degrauzinho,1,Music,171.0,2022-09-04 00:00:00+00:00
6,HjNl6mwE_HM,350528.0,47360.0,1450.0,UC5mZsx_OVnc4XmG9rWU2p3A,2022-09-16 22:30:49+00:00,,2012-01-16 03:27:00+00:00,T3ddy,BR,2603588578,15300000.0,1729,Fizeram um app falso sobre mim e eu ainda testei,0,People & Blogs,818.0,
7,Ygu8PgEZQA4,351163.0,11532.0,57.0,UCvp2rct896qzl9qaG20mjNg,2022-09-13 21:15:01+00:00,,2016-10-06 22:02:42+00:00,GamerCosta,BR,299662608,658000.0,756,SOBREVIVENDO 103 ANOS COMO JAKE DO SUBWAY SURFERS NO GTA 5,1,Gaming,764.0,2022-09-15 00:00:00+00:00
8,aanArC3Z1m0,34948.0,3804.0,343.0,UC9mdw2mmn49ZuqGOpSri7Fw,2022-08-30 11:25:24+00:00,Leo Dias entrevista Naiara Azevedo,2015-08-24 20:28:54+00:00,Metrópoles,BR,319731402,1460000.0,10705,,0,Entertainment,4198.0,
9,ItxcFUN6FiU,34956.0,3396.0,311.0,UCuBwNHXUJY7wg1qcJdq08Yg,2022-09-10 20:01:44+00:00,,2011-07-06 17:29:34+00:00,Ubisoft Brasil,BR,308165329,1530000.0,5358,Ubisoft Forward | Assassin&#39;s Creed Mirage,1,Gaming,226.0,2022-09-11 00:00:00+00:00
10,KTPVRcOhZzg,217982.0,2437.0,296.0,UCz8K1occVvDTYDfFo7N5EZw,2022-08-27 01:11:59+00:00,"Verdict Reached: FL v. Trevor Summers - Dad On Trial For Kidnapping, Attempted Murder Of Mom Day 4",2015-08-28 17:26:16+00:00,Law&Crime Network,US,1659812136,3700000.0,13665,,0,Entertainment,39606.0,
11,fmkZR8G9GB8,218014.0,50473.0,1022.0,UCGFNp4Pialo9wjT9Bo8wECA,2022-09-09 14:00:50+00:00,,2016-12-29 13:38:05+00:00,FutParódias,BR,3815647003,9410000.0,650,♫ PALMEIRAS ELIMINADO! 🤣 FLAMENGO E ATHLETICO NA FINAL DA LIBERTA! | Paródia Bandido - Zé Felipe,1,Sports,144.0,2022-09-10 00:00:00+00:00
12,SvCPXSPpCDQ,861071.0,37208.0,1056.0,UCtKhsYpZ1LsgLvl7u7Ky5AQ,2022-09-09 02:58:10+00:00,,2016-10-24 12:26:59+00:00,Ligados Plus,BR,170707527,1650000.0,630,TRICOLOR NA FINAL DA SULA | São Paulo 2 (4 x 2) 0 Atlético-GO | Melhores Momentos + Pênaltis | HD,0,Howto & Style,490.0,
13,LYvz5nFKcYY,862074.0,10359.0,989.0,UC4sFJvWwapBhZXUWPmgorBw,2022-09-01 23:59:57+00:00,,2014-09-24 19:01:09+00:00,Filtr Brasil,BR,497652456,1670000.0,938,"Priscilla Alcantara, Vitor Kley - Tudo Pah (Casa Filtr)",1,Music,162.0,2022-09-03 00:00:00+00:00
14,A4YNwDMo_I8,16564.0,3289.0,230.0,UCEBQbIE5JTM78eT1GcEu_kA,2022-09-02 08:15:10+00:00,,2013-03-29 00:39:30+00:00,Canal do TF - Tudo sobre o Glorioso,BR,76051470,182000.0,3028,SETEMBRO DECISIVO PARA O BOTAFOGO! HORA DA ARRANCADA | TIQUINHO SOARES É A ESPERANÇA DO GLORIOSO!,0,Sports,508.0,
15,GWYqzuNNHYY,16576.0,5556.0,433.0,UCSfAbClTO0-Rb3852P4yyDQ,2022-08-22 15:00:07+00:00,"Sandy, Vitor Kley - Nós, Voz, Eles 2 - Episódio: Tudo Teu",2009-05-12 05:29:16+00:00,SandyVEVO,,340495007,482000.0,51,,1,Music,984.0,2022-08-23 00:00:00+00:00
16,suTmB_Zx3zs,149455.0,12177.0,5103.0,UCthbIFAxbXTTQEC7EcQvP1Q,2022-09-09 19:27:23+00:00,,2007-07-07 01:38:53+00:00,BBC News Brasil,BR,700358468,3020000.0,6019,Eleitores de Bolsonaro falam sobre governo e corrupção,0,News & Politics,686.0,
